x,y
1.0,11.0
2.0,16.0
3.0,21.0
4.0,26.0
5.0,31.0
6.0,36.0
7.0,41.0
8.0,46.0
9.0,51.0
10.0,56.0
11.0,61.0
12.0,66.0
13.0,71.0
14.0,76.0
15.0,81.0
16.0,86.0
17.0,91.0
18.0,96.0
19.0,101.0
20.0,106.0
21.0,111.0
22.0,116.0
23.0,121.0
24.0,126.0
25.0,131.0
26.0,136.0
27.0,141.0
28.0,146.0
29.0,151.0
30.0,156.0
31.0,161.0
32.0,166.0
33.0,171.0
34.0,176.0
35.0,181.0
36.0,186.0
37.0,191.0
38.0,196.0
39.0,201.0
40.0,206.0
41.0,211.0
42.0,216.0
43.0,221.0
44.0,226.0
45.0,231.0
46.0,236.0
47.0,241.0
48.0,246.0
49.0,251.0
